Id	WT30_a	WT30_b	WT30_c	Fluco_a	Fluco_b	Fluco_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.Fluco_a	norm.Fluco_b	norm.Fluco_c	baseMean	WT	Fluco	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_01737	29412	18922	12197	37193	23888	39367	17225	19004	11445	43647	43885	32247	27908.82	15891	39926	2.512	1.329	1.30317958896996e-08	4.89458922092542e-06	0.0447	0.0284	0.0393	0.0393	TRUE	0.7326
CNAG_07485	1427	850	1113	1488	966	1920	836	854	1044	1746	1775	1573	1304.56	911	1698	1.863	0.898	1.79518702486562e-08	6.36792730764833e-06	0.0089	0.0319	0.0175	0.0175	TRUE	0.1943
CNAG_00117	5688	3264	3175	5660	2727	7274	3331	3278	2979	6642	5010	5958	4533.16	3196	5870	1.837	0.877	3.7715444940493e-08	1.26743745234236e-05	0.0112	0.0293	0.0181	0.0181	TRUE	0.172
CNAG_00869	1754	1283	1088	2315	1177	2418	1027	1289	1021	2717	2162	1981	1699.4	1112	2287	2.057	1.04	5.233680681543e-08	1.6708525575826e-05	0.0225	0.031	0.0257	0.0257	TRUE	0.329
CNAG_02918	12793	5665	6071	12464	5784	17884	7492	5689	5697	14627	10626	14650	9796.78	6293	13301	2.114	1.08	7.38510697791078e-08	2.1433594569982e-05	0.0286	0.0287	0.0289	0.0289	TRUE	0.3772
CNAG_06829	9465	5100	3915	11527	8801	10585	5543	5122	3674	13527	16168	8671	8784.18	4780	12789	2.675	1.42	7.85856063107707e-08	2.18160476649683e-05	0.065	0.0288	0.0502	0.0502	TRUE	0.2111
CNAG_04869	1612	1103	1148	1898	1004	2110	944	1108	1077	2227	1844	1728	1488.21	1043	1933	1.855	0.891	9.00775827780108e-08	2.39643902515666e-05	0.0115	0.0314	0.0193	0.0193	TRUE	0.2148
CNAG_07674	848	409	488	801	671	978	497	411	458	940	1233	801	723.19	455	991	2.171	1.118	1.11234070961819e-07	2.84091817236485e-05	0.0268	0.0349	0.0304	0.0304	TRUE	0.2906
CNAG_01475	14347	7359	7543	11030	6423	15362	8402	7391	7078	12944	11800	12584	10033.08	7624	12443	1.632	0.707	1.3072729186993e-07	3.0914583651463e-05	0.0051	0.0287	0.0128	0.0128	TRUE	0.0979
CNAG_06901	609	330	436	581	370	770	357	331	409	682	680	631	514.92	366	664	1.814	0.86	1.26453835377618e-07	3.0914583651463e-05	0.004	0.0375	0.017	0.017	TRUE	0.1208
CNAG_03176	6053	3718	3410	5374	3939	6649	3545	3734	3200	6307	7236	5446	4911.36	3493	6330	1.811	0.857	1.55295959098877e-07	3.54130249587975e-05	0.0127	0.0292	0.019	0.019	TRUE	0.1224
CNAG_06424	1202	720	868	1048	858	1569	704	723	814	1230	1576	1285	1055.48	747	1364	1.823	0.867	2.35161136277878e-07	5.17759950046293e-05	0.0109	0.0328	0.0192	0.0192	TRUE	0.216
CNAG_02503	4098	1911	2252	3344	2463	4207	2400	1919	2113	3924	4525	3446	3054.6	2144	3965	1.848	0.886	2.45136725714131e-07	5.21732664561574e-05	0.0151	0.0298	0.0209	0.0209	TRUE	0.1484
CNAG_02822	4000	2560	2608	4594	2328	4735	2343	2571	2447	5391	4277	3879	3484.58	2454	4516	1.84	0.88	2.90022387526265e-07	5.97352562695227e-05	0.0157	0.0296	0.0209	0.0209	TRUE	0.3513
CNAG_05023	2863	1373	1438	2111	1452	2866	1677	1379	1349	2477	2667	2348	1982.91	1468	2497	1.699	0.765	8.29961139680998e-07	0.000165603183651974	0.0089	0.0306	0.0168	0.0168	TRUE	0.1886
CNAG_02839	303	145	144	238	186	385	177	146	135	279	342	315	232.43	153	312	2.031	1.022	1.07165946398857e-06	0.000207349869017183	0.0107	0.0489	0.0269	0.0269	TRUE	0.2346
CNAG_00818	642	488	551	709	448	1250	376	490	517	832	823	1024	677.02	461	893	1.943	0.958	1.3013127815694e-06	0.000244378885597665	0.0205	0.0353	0.0266	0.0266	TRUE	0.3166
CNAG_02225	867	426	361	1110	1089	866	508	428	339	1303	2001	709	881.16	425	1338	3.142	1.652	2.05839199993789e-06	0.00037550951198867	0.1436	0.0337	0.0858	0.0858	TRUE	0.0995
CNAG_05685	2932	1462	1952	3092	1431	3552	1717	1468	1832	3629	2629	2910	2364.02	1672	3056	1.828	0.87	2.19680187211471e-06	0.000389627220929234	0.0197	0.0302	0.0239	0.0239	TRUE	0.3259
CNAG_00543	3683	1695	1995	2609	1815	3666	2157	1702	1872	3062	3334	3003	2521.72	1910	3133	1.638	0.712	2.57599848707617e-06	0.000444533792972469	0.0082	0.0301	0.0161	0.0161	TRUE	0.156
CNAG_01313	1903	901	1078	1442	1035	1875	1114	905	1012	1692	1901	1536	1360.07	1010	1710	1.689	0.756	3.53163736301371e-06	0.000579299856304798	0.01	0.0317	0.0184	0.0184	TRUE	0.1132
