Id	WT30_a	WT30_b	WT30_c	SDS_a	SDS_b	SDS_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.SDS_a	norm.SDS_b	norm.SDS_c	baseMean	WT	SDS	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_03983	25358	20899	16463	11605	15010	9179	17982	25427	18628	12765	11941	10907	16274.9	20679	11871	0.574	-0.801	6.84945260832993e-07	1.79355164438971e-05	0.0229	0.0149	0.0187	0.0187	TRUE	0.4934
CNAG_01574	18670	7741	5694	4041	5503	3665	13239	9418	6443	4445	4378	4355	7046.31	9700	4393	0.453	-1.143	7.21843849013394e-07	1.87568773333672e-05	0.0615	0.0153	0.0382	0.0382	TRUE	0.1374
CNAG_06668	24919	15619	9825	8080	8991	6354	17671	19003	11117	8888	7153	7550	11896.82	15930	7864	0.494	-1.019	7.49059103218818e-07	1.93897665573665e-05	0.0416	0.015	0.0304	0.0304	TRUE	0.8541
CNAG_07797	2204	1398	1628	1022	1499	952	1563	1701	1842	1124	1193	1131	1425.62	1702	1149	0.676	-0.565	8.73918472526148e-07	2.22120140103288e-05	0.0035	0.0183	0.0088	0.0088	TRUE	0.0633
CNAG_01846	33008	18641	13102	11044	11666	7870	23407	22680	14825	12148	9281	9351	15281.89	20304	10260	0.505	-0.985	8.82040985644929e-07	2.23209028531489e-05	0.0401	0.0149	0.0288	0.0288	TRUE	0.6816
CNAG_07434	1339	904	902	632	870	553	950	1100	1021	695	692	657	852.39	1024	681	0.667	-0.584	1.04383679327394e-06	2.60268423969996e-05	0.0024	0.0208	0.0091	0.0091	TRUE	0.0507
CNAG_07695	20988	8697	9197	6057	9267	5502	14883	10581	10406	6662	7372	6538	9407.17	11957	6857	0.573	-0.802	1.15195439510015e-06	2.83482143711909e-05	0.0245	0.0151	0.0195	0.0195	TRUE	0.5613
CNAG_07319	11657	7029	5796	4833	5141	3680	8266	8552	6558	5316	4090	4373	6192.48	7792	4593	0.589	-0.763	1.20429229402793e-06	2.94855968884383e-05	0.0191	0.0154	0.0176	0.0176	TRUE	0.234
CNAG_05962	784	470	504	317	475	247	556	572	570	349	378	293	453.02	566	340	0.603	-0.731	1.2166854047e-06	2.96818719952352e-05	0.0045	0.0262	0.014	0.014	TRUE	0.1579
CNAG_05570	3713	2556	2675	1799	2576	1697	2633	3110	3027	1979	2049	2016	2469.01	2923	2015	0.69	-0.536	1.22753456070812e-06	2.98392092857436e-05	0.0039	0.0167	0.0084	0.0084	TRUE	0.093
CNAG_01102	48987	28263	18128	15625	13771	10319	34738	34386	20511	17187	10956	12261	21673.24	29878	13468	0.451	-1.15	1.30518108017695e-06	3.13891421480854e-05	0.0666	0.0148	0.0406	0.0406	TRUE	0.9205
CNAG_06240	15515	9139	8838	7349	9791	6436	11002	11119	10000	8084	7789	7647	9273.56	10707	7840	0.732	-0.45	1.3279450335077e-06	3.17117014691873e-05	0.0019	0.0151	0.0061	0.0061	TRUE	0.0407
CNAG_00482	8956	4972	4996	3917	5612	3726	6351	6049	5653	4309	4465	4427	5208.92	6018	4400	0.731	-0.452	1.34201976740111e-06	3.18236995192809e-05	0.0016	0.0156	0.0061	0.0061	TRUE	0.0343
CNAG_02843	35074	21546	16960	14208	16657	11353	24872	26214	19190	15628	13251	13490	18774.25	23425	14123	0.603	-0.73	1.34866516074676e-06	3.18698505929775e-05	0.0169	0.0149	0.0164	0.0164	TRUE	0.306
CNAG_01686	11037	6473	4897	4097	4810	2977	7827	7875	5541	4507	3827	3537	5518.9	7081	3957	0.559	-0.84	1.37535332134974e-06	3.23876605048401e-05	0.0254	0.0155	0.0216	0.0216	TRUE	0.4413
CNAG_03452	3796	3000	2634	1781	2417	1634	2692	3650	2980	1959	1923	1942	2524.26	3107	1941	0.625	-0.678	1.49645167498056e-06	3.51174230440074e-05	0.0119	0.0167	0.0139	0.0139	TRUE	0.2826
CNAG_01183	2780	1946	1757	1236	1757	1230	1971	2368	1988	1360	1398	1462	1757.64	2109	1407	0.667	-0.584	1.64570804514595e-06	3.80928053316719e-05	0.0054	0.0176	0.0101	0.0101	TRUE	0.1379
CNAG_06738	4697	3060	3272	2310	3308	2188	3331	3723	3702	2541	2632	2600	3088.06	3585	2591	0.723	-0.468	1.75226170302849e-06	4.01481042903353e-05	0.0019	0.0163	0.0066	0.0066	TRUE	0.0477
CNAG_04230	3681	2291	2545	1752	2582	1688	2610	2787	2880	1927	2054	2006	2377.37	2759	1996	0.724	-0.466	1.79779337516688e-06	4.06421155679393e-05	0.0015	0.0168	0.0064	0.0064	TRUE	0.0276
CNAG_06737	6249	3569	3229	2654	3479	2335	4431	4342	3654	2919	2768	2775	3481.44	4142	2821	0.681	-0.555	2.01791812119138e-06	4.51667349766335e-05	0.0053	0.0161	0.0095	0.0095	TRUE	0.1293
CNAG_06879	2746	1671	1759	1341	1430	1056	1947	2033	1990	1475	1138	1255	1639.67	1990	1289	0.647	-0.627	2.07160074023234e-06	4.62157770403149e-05	0.0081	0.0178	0.0119	0.0119	TRUE	0.1912
CNAG_03991	5840	3554	2441	2023	2337	1666	4141	4324	2762	2225	1859	1980	2881.87	3742	2021	0.54	-0.889	2.17048253727827e-06	4.81052698294812e-05	0.0297	0.0164	0.025	0.025	TRUE	0.6375
CNAG_01594	8721	5675	4683	3808	4819	3376	6184	6905	5299	4189	3834	4011	5070.23	6129	4011	0.654	-0.612	2.43261896316909e-06	5.2878275026323e-05	0.0093	0.0156	0.0119	0.0119	TRUE	0.1667
CNAG_01951	74577	41966	42873	36138	45451	29577	52885	51058	48510	39751	36159	35144	43917.61	50818	37018	0.728	-0.457	2.66755750187516e-06	5.72511866383459e-05	0.003	0.0147	0.0068	0.0068	TRUE	0.051
CNAG_05914	2882	2720	2198	1370	1765	926	2044	3309	2487	1507	1404	1100	1975.23	2613	1337	0.512	-0.966	2.66400693903127e-06	5.72511866383459e-05	0.0418	0.0173	0.0299	0.0299	TRUE	0.2589
