Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_04172	1439	873	959	798	707	680	553	581	593	1313	1337	1391	961.36	576	1347	2.341	1.227	5.25051815912147e-25	9.88410043454617e-24	0	0.0192	0.009	0.009	TRUE	0.0141
CNAG_04598	407	270	335	383	336	281	157	180	207	630	635	575	397.28	181	613	3.399	1.765	5.41007187307639e-25	1.01562484996783e-23	0.0088	0.0261	0.018	0.018	TRUE	0.18
CNAG_01963	370	233	335	507	366	298	142	155	207	834	692	610	440.08	168	712	4.249	2.087	1.0436616801573e-24	1.94845597973169e-23	0.0281	0.025	0.0269	0.0269	TRUE	0.2764
CNAG_00938	2131	1196	1099	1216	1058	893	820	795	679	2001	2000	1827	1353.84	765	1943	2.54	1.345	1.06108238926636e-24	1.97012475398852e-23	0.0056	0.0178	0.0115	0.0115	TRUE	0.1143
CNAG_04034	457	201	314	370	316	316	176	134	194	609	597	647	392.74	168	618	3.673	1.877	1.24448887001797e-24	2.29918988326686e-23	0.0142	0.0263	0.021	0.021	TRUE	0.3392
CNAG_07971	1208	697	986	1046	913	699	465	464	609	1722	1726	1430	1069.25	513	1626	3.175	1.667	1.29012293711188e-24	2.36942090645182e-23	0.0169	0.0187	0.018	0.018	TRUE	0.3236
CNAG_04857	20234	10677	10933	13207	11473	8036	7782	7101	6758	21738	21690	16441	13585.1	7214	19956	2.766	1.468	1.49406072016973e-24	2.72917776296234e-23	0.0141	0.0146	0.0148	0.0148	TRUE	0.2899
CNAG_07781	1545	1168	1019	1113	1009	879	594	777	630	1832	1908	1798	1256.47	667	1846	2.771	1.47	1.49163857998738e-24	2.72917776296234e-23	0.0095	0.018	0.014	0.014	TRUE	0.2466
CNAG_01278	3970	2956	2851	2785	2424	2064	1527	1966	1762	4584	4583	4223	3107.44	1752	4463	2.549	1.35	1.87118416142264e-24	3.39973594154456e-23	0.0084	0.0158	0.0122	0.0122	TRUE	0.1548
CNAG_04077	247	103	134	220	171	191	95	69	83	362	323	391	220.42	82	359	4.342	2.118	2.32320129953402e-24	4.20971529597381e-23	0.0113	0.0356	0.0253	0.0253	TRUE	0.2168
CNAG_04663	550	364	443	640	386	446	212	242	274	1053	730	913	570.52	243	899	3.714	1.893	2.69293546088931e-24	4.85939220626004e-23	0.0231	0.0225	0.0228	0.0228	TRUE	0.1063
CNAG_07402	945	572	764	806	660	543	363	380	472	1327	1248	1111	816.91	405	1229	3.035	1.602	3.58711205442373e-24	6.43117946900254e-23	0.0119	0.02	0.0165	0.0165	TRUE	0.2448
CNAG_02473	3424	1859	1367	2565	2132	1757	1317	1236	845	4222	4031	3595	2540.91	1133	3949	3.485	1.801	3.80723776960806e-24	6.80782331520681e-23	0.0273	0.0161	0.0223	0.0223	TRUE	0.5957
CNAG_01135	867	494	617	861	751	467	333	329	381	1417	1420	955	805.97	348	1264	3.638	1.863	3.88431714456577e-24	6.92737297071638e-23	0.0263	0.0201	0.0228	0.0228	TRUE	0.5332
CNAG_06815	474	272	306	334	267	280	182	181	189	550	505	573	363.29	184	543	2.946	1.559	4.21719262248851e-24	7.50128986945004e-23	0	0.0272	0.0139	0.0139	TRUE	0.0411
CNAG_03168	18831	9837	9801	8672	8427	7271	7243	6543	6058	14273	15932	14876	10820.76	6615	15027	2.272	1.184	4.79171179424239e-24	8.47870256647015e-23	0.0054	0.0147	0.0098	0.0098	TRUE	0.0846
CNAG_07757	2912	1859	1593	1762	1567	1285	1120	1236	985	2900	2962	2629	1972.12	1114	2830	2.542	1.346	5.30608011936691e-24	9.36440233566394e-23	0.0074	0.0167	0.0122	0.0122	TRUE	0.1229
CNAG_01034	230	213	284	465	389	319	88	142	176	765	735	653	426.52	135	718	5.337	2.416	7.46050654255479e-24	1.3098407471216e-22	0.0572	0.0253	0.0381	0.0381	TRUE	1.0913
CNAG_05298	941	502	545	532	525	420	362	334	337	876	993	859	626.69	344	909	2.639	1.4	7.50251730002188e-24	1.31381291323639e-22	0.0022	0.0218	0.0121	0.0121	TRUE	0.0746
CNAG_01760	682	406	423	420	355	365	262	270	261	691	671	747	483.83	264	703	2.657	1.41	9.84074695242477e-24	1.71441496392243e-22	0	0.024	0.0118	0.0118	TRUE	0.0331
CNAG_02464	1702	1185	934	1111	999	936	655	788	577	1829	1889	1915	1275.39	673	1878	2.789	1.48	1.70796355716971e-23	2.95277271095386e-22	0.0113	0.018	0.0149	0.0149	TRUE	0.2621
